index,designation,ra,dec,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,ruwe,teff_gspphot
192,Gaia DR3 1083490098387815424,120.21775807061907,58.87675512464575,9.109503,8.415855,9.644964,1.0179541,5135.793
193,Gaia DR3 1433994751552757248,259.8823471206806,58.529102520656515,9.234786,8.680801,9.265891,1.1956015,6542.474
194,Gaia DR3 458965153052917248,37.454859522162835,58.50959338413113,9.015539,8.587528,9.274047,0.9175792,6071.1685
195,Gaia DR3 845679992591464576,173.0132986159338,57.050105790967805,9.228121,8.830622,9.46569,1.0897537,6422.6777
196,Gaia DR3 2187104450729147392,309.5299072481895,56.61121892257926,9.083386,8.7712555,9.235964,0.9741076,6957.7183
197,Gaia DR3 269789440146508544,87.37524027611694,58.659048015292306,9.199658,8.465586,9.789233,1.02092,5026.115
198,Gaia DR3 1600765204920297344,228.09724136029484,55.628169037915406,9.036637,8.532547,9.370688,0.8646804,5913.1465
199,Gaia DR3 422029641202348160,4.441553219729911,57.552666951812455,9.046556,8.627451,9.301456,1.0065447,6812.2764
200,Gaia DR3 1026091227731068672,140.48815219993276,57.665236978266506,9.187268,8.798159,9.418746,0.9463313,6343.509
201,Gaia DR3 2151078741786155008,277.94362744270364,56.65067327615939,9.018366,8.517334,9.35343,0.983225,5674.33
202,Gaia DR3 449192629288279808,55.054576903648424,58.30054179481474,9.014936,8.648463,9.227783,1.0402186,6494.7363
203,Gaia DR3 1576860138505302016,195.65860811790557,56.41983557872047,9.076434,8.642288,9.343295,1.0400938,6043.936
204,Gaia DR3 2199449561132278912,331.6430932436554,57.65091131889809,9.070533,8.701452,9.28798,1.0572631,6472.6997
205,Gaia DR3 988832455158547328,111.06415483545442,55.459949646327644,9.116618,8.5753355,9.486488,1.1188191,5460.1675
206,Gaia DR3 1431251160804029184,247.7952689489231,57.409362921368164,9.010828,8.423234,9.233244,1.0936382,5833.2603
207,Gaia DR3 509198162833978624,23.063789116660846,58.41550402994121,9.058724,8.3956175,9.329643,1.0139443,5648.9707
208,Gaia DR3 849945754110186752,163.44399061930835,54.922126574557225,9.071592,8.644338,9.333776,1.1918939,6106.463
209,Gaia DR3 2235547489937780864,298.0267017772741,57.95450182082912,9.03811,8.704255,9.227866,1.0346552,6754.0176
210,Gaia DR3 267205072428544000,75.60617776556727,54.37470255041704,9.027566,8.594266,9.29194,1.0455447,6225.151
211,Gaia DR3 1610431698834663424,216.07356272498362,56.14614636850352,9.350164,8.938396,9.597998,0.94903696,6191.505
212,Gaia DR3 1998571157557797632,352.6716213171899,56.79014837930404,9.241274,8.764994,9.547089,0.8106201,6055.1313
213,Gaia DR3 1031111151147846656,130.5955922272946,56.107747494317955,9.134847,8.755101,9.353977,1.0023263,6509.1064
214,Gaia DR3 1417300827853066624,266.65532049373843,54.18575616787479,9.024042,8.378035,9.508663,1.0036631,5025.8447
215,Gaia DR3 460621193663868160,42.67869969355729,57.001256059455216,9.011633,8.401644,9.455425,1.0104591,5060.8687
216,Gaia DR3 1575435583752131712,181.3974777654819,56.97852447546773,9.037008,8.551261,9.354961,1.2270279,5756.052
217,Gaia DR3 2178630171023678848,321.1159398515864,56.2528282773834,9.002698,8.548839,9.286639,1.0548247,5898.793
218,Gaia DR3 997576527536730496,97.08406935627451,54.8954414772377,9.004399,8.570749,9.273465,0.94077486,6032.3506
219,Gaia DR3 1601183019338876160,234.0206818751915,55.52246336788101,9.110193,8.438029,9.07553,0.8749693,6334.774
220,Gaia DR3 417278857613007744,13.419962677956516,54.07403790384583,9.110078,8.755555,9.314897,1.0238903,6596.014
221,Gaia DR3 1046110139017375232,150.1824539274292,56.965638142543696,9.0238495,8.7209635,9.191795,0.92136246,6885.2954
222,Gaia DR3 2140966743801319296,288.36549493627865,55.377117324204974,9.055948,8.431624,9.516994,0.9577085,5068.6147
223,Gaia DR3 468998475837844736,63.36284596617116,56.76988475896082,9.054999,8.608828,9.334603,1.0179163,5960.5874
224,Gaia DR3 1565372681536610432,200.00401872541016,55.82194303714161,9.019249,8.638097,9.246127,0.9715633,6388.388
