# Prioritization file for occultation-standard
# Version: 1.1.0
# Updated by: Ben Hord
# Updated on: 2026-09-17 19:45:57
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
212,TIC_262843771,0.876449,600.0,0.0,600.0
213,TIC_105999792,0.876338,600.0,0.0,600.0
214,TIC_229137615,0.876227,600.0,0.0,600.0
215,TIC_46125330,0.876116,600.0,0.0,600.0
216,TIC_8915802,0.876004,600.0,0.0,600.0
217,TIC_367631379,0.875893,600.0,0.0,600.0
218,TIC_72748794,0.875782,600.0,0.0,600.0
219,TIC_373765355,0.875671,600.0,0.0,600.0
220,TIC_257393898,0.87556,600.0,0.0,600.0
221,TIC_69889261,0.875449,600.0,0.0,600.0
222,TIC_437886584,0.875338,600.0,0.0,600.0
223,TIC_79841001,0.875227,600.0,0.0,600.0
224,TIC_24467943,0.875116,600.0,0.0,600.0
225,TIC_261136679,0.875005,600.0,0.0,600.0
226,TIC_29495621,0.874894,600.0,0.0,600.0
227,TIC_459427073,0.874782,600.0,0.0,600.0
228,TIC_234968549,0.874671,600.0,0.0,600.0
229,TIC_372914091,0.87456,600.0,0.0,600.0
230,TIC_156890613,0.874449,600.0,0.0,600.0
231,TIC_130645536,0.874338,600.0,0.0,600.0
232,TIC_233121747,0.874227,600.0,0.0,600.0
233,TIC_282210766,0.874116,600.0,0.0,600.0
234,TIC_259291108,0.874005,600.0,0.0,600.0
235,TIC_95431211,0.873894,600.0,0.0,600.0
236,TIC_141523112,0.873783,600.0,0.0,600.0
237,TIC_80431620,0.873672,600.0,0.0,600.0
238,TIC_176521059,0.87356,600.0,0.0,600.0
239,TIC_229902025,0.873449,600.0,0.0,600.0
240,TIC_389853353,0.873338,600.0,0.0,600.0
241,TIC_329574145,0.873227,600.0,0.0,600.0
242,TIC_328324648,0.873116,600.0,0.0,600.0
243,TIC_350673608,0.873005,600.0,0.0,600.0
244,TIC_58092025,0.872894,600.0,0.0,600.0
245,TIC_83391616,0.872783,600.0,0.0,600.0
246,TIC_135656809,0.872672,600.0,0.0,600.0
247,TIC_202380743,0.872561,600.0,0.0,600.0
248,TIC_279649049,0.87245,600.0,0.0,600.0
249,TIC_417762326,0.872338,600.0,0.0,600.0
250,TIC_11310083,0.872227,600.0,0.0,600.0
251,TIC_166853853,0.872116,600.0,0.0,600.0
252,TIC_136916387,0.872005,600.0,0.0,600.0
253,TIC_57611256,0.871894,600.0,0.0,600.0
254,TIC_142103211,0.871783,600.0,0.0,600.0
255,TIC_159746875,0.871672,600.0,0.0,600.0
256,TIC_30016911,0.871561,600.0,0.0,600.0
257,TIC_3962869,0.87145,600.0,0.0,600.0
258,GD_153,0.871339,1000.0,0.0,1000.0
259,BD_00_4260,0.871228,1000.0,0.0,1000.0
260,BD_02_3375,0.871116,1000.0,0.0,1000.0
261,BD_17_4708,0.871005,1000.0,0.0,1000.0
262,BD_21_0607,0.870894,1000.0,0.0,1000.0
263,BD_26_2606,0.870783,1000.0,0.0,1000.0
264,HD_111980,0.870672,1000.0,0.0,1000.0
265,HD_115169,0.870561,1000.0,0.0,1000.0
266,HD_116405,0.87045,1000.0,0.0,1000.0
267,HD_142331,0.870339,1000.0,0.0,1000.0
268,HD_160617,0.870228,1000.0,0.0,1000.0
269,HD_167060,0.870117,1000.0,0.0,1000.0
270,HD_200654,0.870006,1000.0,0.0,1000.0
271,HD_233511,0.869894,1000.0,0.0,1000.0
272,HD_31128,0.869783,1000.0,0.0,1000.0
273,HD_37725,0.869672,1000.0,0.0,1000.0
274,HD_74000,0.869561,1000.0,0.0,1000.0
275,HD_84937,0.86945,1000.0,0.0,1000.0
276,HD_9051,0.869339,1000.0,0.0,1000.0
277,HD_93521,0.869228,1000.0,0.0,1000.0
278,Ross_484,0.869117,1000.0,0.0,1000.0
279,TYC_4833-626-1,0.869006,1000.0,0.0,1000.0
280,TYC_5017-35-1,0.868895,1000.0,0.0,1000.0
281,BD_21_607,0.868784,1000.0,0.0,1000.0
282,BD_54_1216,0.868672,1000.0,0.0,1000.0
283,GD_71,0.868561,1000.0,0.0,1000.0
284,GJ_15A,0.86845,1000.0,0.0,1000.0
285,HD_14943,0.868339,1000.0,0.0,1000.0
286,HD_2811,0.868228,1000.0,0.0,1000.0
287,HD_37962,0.868117,1000.0,0.0,1000.0
288,HD_38949,0.868006,1000.0,0.0,1000.0
289,HD_55677,0.867895,1000.0,0.0,1000.0
290,HZ4,0.867784,1000.0,0.0,1000.0
291,WD0148_467,0.867673,1000.0,0.0,1000.0
292,WD0227_050,0.867562,1000.0,0.0,1000.0
293,WD0308-565,0.86745,1000.0,0.0,1000.0
294,WD0320-539,0.867339,1000.0,0.0,1000.0
295,WD0809_177,0.867228,1000.0,0.0,1000.0
296,WD2341_322,0.867117,1000.0,0.0,1000.0
297,G3423847121195964672,0.867006,600.0,0.0,600.0
298,G232985418714380416,0.866895,600.0,0.0,600.0
299,G241796423863697408,0.866784,600.0,0.0,600.0
300,G200301228691042688,0.866673,600.0,0.0,600.0
301,G1942224279006354432,0.866562,600.0,0.0,600.0
302,G231448438897036800,0.866451,600.0,0.0,600.0
303,G425244166527350784,0.86634,600.0,0.0,600.0
304,G3106803149490152832,0.866228,600.0,0.0,600.0
305,G203314169726152960,0.866117,600.0,0.0,600.0
306,G3425983158753964288,0.866006,600.0,0.0,600.0
307,G3366262329996480000,0.865895,600.0,0.0,600.0
308,G3351433903867696640,0.865784,600.0,0.0,600.0
309,G189705617387154560,0.865673,600.0,0.0,600.0
310,G2075076791539163264,0.865562,600.0,0.0,600.0
311,G3158544925443802752,0.865451,600.0,0.0,600.0
312,G3113673550974152704,0.86534,600.0,0.0,600.0
313,G198915710897412480,0.865229,600.0,0.0,600.0
314,G3345893121178335232,0.865118,600.0,0.0,600.0
315,G3369399236671791616,0.865006,600.0,0.0,600.0
316,G241472445889902080,0.864895,600.0,0.0,600.0
317,G199819883114238592,0.864784,600.0,0.0,600.0
318,G3398075805593109888,0.864673,600.0,0.0,600.0
319,G3123532803018913920,0.864562,600.0,0.0,600.0
320,G3395789302442225792,0.864451,600.0,0.0,600.0
321,G3152564548557912448,0.86434,600.0,0.0,600.0
322,G3432273606513132544,0.864229,600.0,0.0,600.0
323,G3356271067835669888,0.864118,600.0,0.0,600.0
324,G3354514116975065344,0.864007,600.0,0.0,600.0
325,G3135446561263584256,0.863896,600.0,0.0,600.0
326,G3356803506342706048,0.863784,600.0,0.0,600.0
327,G183081609586291712,0.863673,600.0,0.0,600.0
328,G3369221528103925376,0.863562,600.0,0.0,600.0
329,G3317332069696186240,0.863451,600.0,0.0,600.0
330,G3024207178875434496,0.86334,600.0,0.0,600.0
331,G442651497173870080,0.863229,600.0,0.0,600.0
332,G457099561004687872,0.863118,600.0,0.0,600.0
333,G4539381725771320448,0.863007,600.0,0.0,600.0
334,G186745796506873216,0.862896,600.0,0.0,600.0
335,G2701846248105636480,0.862785,600.0,0.0,600.0
336,G183628612321432448,0.862674,600.0,0.0,600.0
337,G191820631081888768,0.862562,600.0,0.0,600.0
